DATE - TIME, YEAR, MONTH, RECORDS TOTAL, RECORDS ADDED
05-21-2012 - 04:25:14, 2010, 01, 175264, 175265
05-22-2012 - 09:51:53, 2010, 02, 188397, 188398
05-22-2012 - 10:11:05, 2010, 03, 230669, 230670
05-22-2012 - 10:38:07, 2010, 04, 231413, 231414
05-22-2012 - 12:00:03, 2010, 05, 219010, 219011
05-22-2012 - 01:04:35, 2010, 06, 228703, 228704
05-22-2012 - 01:52:01, 2010, 07, 271041, 271042
05-22-2012 - 02:00:01, 2010, 08, ~999999, ~999999
05-23-2012 - 03:59:44, 2010, 09, 171119, 10000
05-23-2012 - 04:00:32, 2010, 09, 171119, 20000
05-23-2012 - 04:01:23, 2010, 09, 171119, 30000
05-23-2012 - 04:02:20, 2010, 09, 171119, 40000
05-23-2012 - 04:03:02, 2010, 09, 171119, 50000
05-23-2012 - 04:03:45, 2010, 09, 171119, 60000
05-23-2012 - 04:04:35, 2010, 09, 171119, 70000
05-23-2012 - 04:05:27, 2010, 09, 171119, 80000
05-23-2012 - 04:06:10, 2010, 09, 171119, 90000
05-23-2012 - 04:20:44, 2010, 09, 171119, 171120
05-23-2012 - 04:30:24, 2010, 09, 171370, 171371
05-23-2012 - 04:40:53, 2010, 09, 180014, 180015
05-23-2012 - 04:51:50, 2010, 09, 187870, 187871
05-23-2012 - 04:59:40, 2010, 09, 135454, 135455
05-23-2012 - 05:09:04, 2010, 09, 155224, 155225
05-23-2012 - 05:18:14, 2010, 09, 151066, 151067
05-23-2012 - 05:27:08, 2010, 09, 145941, 145942
05-23-2012 - 05:33:25, 2010, 09, 104575, 104576
05-23-2012 - 05:34:13, 2010, 09, 11185, 11186
05-23-2012 - 05:34:56, 2010, 09, 10787, 10788
05-23-2012 - 05:35:10, 2010, 09, 3330, 3330
05-23-2012 - 05:35:40, 2010, 09, 7134, 7134
05-23-2012 - 05:36:23, 2010, 09, 10516, 10517
05-23-2012 - 05:37:10, 2010, 09, 11373, 11374
05-23-2012 - 05:40:49, 2010, 09, 56567, 56568
05-23-2012 - 05:41:58, 2010, 09, 17742, 17743
05-23-2012 - 05:42:39, 2010, 09, 10671, 10672
05-23-2012 - 05:42:53, 2010, 09, 3097, 3097
05-23-2012 - 05:43:15, 2010, 09, 5769, 5769
05-23-2012 - 05:43:59, 2010, 09, 11827, 11828
05-23-2012 - 05:44:34, 2010, 09, 9771, 9771
05-23-2012 - 05:45:17, 2010, 09, 11025, 11026
05-23-2012 - 05:46:00, 2010, 09, 10681, 10682
05-23-2012 - 05:46:37, 2010, 09, 9462, 9462
05-23-2012 - 05:46:51, 2010, 09, 3254, 3254
05-23-2012 - 05:47:16, 2010, 09, 6365, 6365
05-23-2012 - 05:47:54, 2010, 09, 9611, 9611
05-23-2012 - 05:48:40, 2010, 09, 11254, 11255
05-23-2012 - 05:49:10, 2010, 09, 6967, 6967
05-23-2012 - 05:49:10, 2010, 09, 6967, 6967
05-23-2012 - 06:50:36, 2010, 10, 268695, 268696
05-23-2012 - 07:04:26, 2010, 11, 215283, 215284
05-23-2012 - 07:14:15, 2010, 12, 174147, 174148
05-23-2012 - 07:35:48, 2011, 01, 265444, 265445
05-23-2012 - 07:51:10, 2011, 02, 265761, 265762
05-23-2012 - 08:15:26, 2011, 03, 305810, 305811
05-23-2012 - 08:32:34, 2011, 04, 294513, 294514
05-23-2012 - 08:49:56, 2011, 05, 299361, 299362
