SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
PropObjectKey,,PropObjectKey,X244780104,PropObjectKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
PropMediaKey,,PropMediaKey,X244780103,PropMediaKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,1,,,,,
PropMediaType,,PropMediaType,X244780106,PropMediaType,15,Long,0,1,Lookup,Left,0,,MEDIA_TYPES,192,,1,,,0,,,0,,,,,
PropMediaExternalKey,,PropMediaExternalKey,X246191982,PropMediaExternalKey,20,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
PropItemNumber,,PropItemNumber,X244780105,PropItemNumber,3,Tiny,0,1,Number,Right,0,,,,,1,-128,127,0,,,0,,,,,
PropMediaDisplayOrder,,PropMediaDisplayOrder,X635834,PropMediaDisplayOrder,5,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
PropMediaSize,,PropMediaSize,X244780107,PropMediaSize,15,Long,0,1,Lookup,Left,0,,MEDIA_SIZES,29,,1,,,0,,,0,,,,,
PropMimeType,,PropMimeType,X244780108,PropMimeType,15,Long,0,1,Lookup,Left,0,,MIME_TYPES,24,,1,,,0,,,0,,,,,
PropMediaBytes,,PropMediaBytes,X244780109,PropMediaBytes,19,Long,0,1,Number,Right,0,,,,,1,-9223372036854775808,9223372036854775807,0,,,0,,,,,
PropMediaFileName,,PropMediaFileName,X244780110,PropMediaFileName,3000,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
PropMediaCaption,,PropMediaCaption,X881799,PropMediaCaption,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
PropMediaDescription,,PropMediaDescription,X881800,PropMediaDescription,4000,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
PropMediaURL,,PropMediaURL,X244780111,PropMediaURL,4000,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
PropMediaCreatedTimestamp,,PropMediaCreatedTimestamp,X71707974,PropMediaCreatedTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
PropMediaModificationTimestamp,,PropMediaModificationTimestamp,X71707979,PropMediaModificationTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
County,County,County,X116640,County,15,Long,0,1,Lookup,Left,0,,COUNTIES_OR_REGIONS,3365,,1,,,0,,,0,,,,,
PropMediaSystemLocale,,PropMediaSystemLocale,X40454062,PropMediaSystemLocale,15,Long,0,1,Lookup,Left,0,,SYSTEM_LOCALES,9,,1,,,0,,,0,,,,,
PropMediaSubSystemLocale,,PropMediaSubSystemLocale,X40454063,PropMediaSubSystemLocale,15,Long,0,1,Lookup,Left,0,,SUB_SYSTEM_LOCALES,32,,1,,,0,,,0,,,,,
UniqueID,,ExternalSystemID,X117295,ExternalSystemID,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListingID,ListingID,ListingID,X117274,ListingID,20,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
PropertyType,,PropertyType,X117289,PropertyType,15,Long,0,1,Lookup,Left,0,,PROPERTY_TYPE,11,,1,,,0,,,0,,,,,
PropMediaPixelLength,,PropMediaPixelLength,X71674945,PropMediaPixelLength,5,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
PropMediaPixelWidth,,PropMediaPixelWidth,X71674946,PropMediaPixelWidth,5,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
