SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
BuildingSize,,BuildingSize,X117213,BuildingSize,10,Decimal,,1,Number,Right,1,,,,,1,,,0,,,0,,,,,
CancelledDate,,CancelledDate,X40706481,CancelledDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
ClosePrice,ClosePrice,ClosePrice,X117305,ClosePrice,32,Decimal,2,1,Number,Right,1,MONEY,,,,1,-999999999999.99,999999999999.99,0,,,0,,,,,
ClosingDate,CloseDate,ClosingDate,X117304,ClosingDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
Country,Country,Country,X116622,Country,15,Long,0,1,Lookup,Left,0,,COUNTRIES,4,,1,,,0,,,0,,,,,
DOMUpdateYN,,DOMUpdateYN,X162048267,DOMUpdateYN,1,Boolean,,1,Number,Right,0,,,,,1,0,1,0,,,0,,,,,
CDOMCalculatedDate,,CDOMCalculatedDate,X292151323,CDOMCalculatedDate,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
CDOM,,CDOM,X49076078,CDOM,10,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
CDOMUpdateYN,,CDOMUpdateYN,X292151324,CDOMUpdateYN,1,Boolean,,1,Number,Right,0,,,,,1,0,1,0,,,0,,,,,
DOM,DaysOnMarket,DOM,X49076071,DOM,10,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
ICDOM,,ICDOM,X11068450,ICDOM,5,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
EntryFloorNumber,,EntryFloorNumber,X40706507,EntryFloorNumber,10,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
EntryLocation,,EntryLocation,X39808139,EntryLocation,15,Long,0,1,LookupMulti,Left,0,,ENTRY_LEVELS,34,,1,,,0,,,0,,,,,
ExpirationDate,ExpirationDate,ExpirationDate,X117279,ExpirationDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
LandLeaseAmountPerYear,,LandLeaseAmountPerYear,X911856,LandLeaseAmountPerYear,10,Decimal,,1,Number,Right,1,,,,,1,,,0,,,0,,,,,
LandLeaseExpirationDate,,LandLeaseExpirationDate,X116565,LandLeaseExpirationDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
LastModifiedBy,,LastModifiedBy,X40706473,LastModifiedBy,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListPrice,ListPrice,ListPrice,X117299,ListPrice,32,Decimal,2,1,Number,Right,1,,,,,1,-999999999999.99,999999999999.99,0,,,0,,,,,
ListingAgreement,,ListingAgreement,X911831,ListingAgreement,15,Long,0,1,LookupMulti,Left,0,,LISTING_AGREEMENT_TYPES,10,,1,,,0,,,0,,,,,
ListingDate,ListDate,ListingDate,X117286,ListingDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
ListingEntryDate,,ListingEntryDate,X911853,ListingEntryDate,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
ListingID,ListingID,ListingID,X117274,ListingID,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListingKey,,ListingKey,X117268,ListingKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,1,,,,,
ListingModificationDate,,ListingModificationDate,X911854,ListingModificationDate,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
ModificationTimestamp,ModificationTimestamp,ModificationTimestamp,X82022,ModificationTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
PrimaryObjectModificationTimestamp,,PrimaryObjectModificationTimestamp,X72229934,PrimaryObjectModificationTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
ListingStatus,ListingStatus,ListingStatus,X117271,ListingStatus,15,Long,0,1,Lookup,Left,0,,LISTING_STATUSES,5,,1,,,0,,,0,,,,,
CARETSListingStatus,LocaleListingStatus,CARETSListingStatus,X117269,CARETSListingStatus,15,Long,0,1,Lookup,Left,0,,LOCALE_LISTING_STATUSES,55,,1,,,0,,,0,,,,,
LotSizeSource,,LotSizeSource,X38765958,LotSizeSource,15,Long,0,1,Lookup,Left,0,,SOURCE_OF_FRONTAGE,19,,1,,,0,,,0,,,,,
OffMarketDate,,OffMarketDate,X67673127,OffMarketDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
OriginalListPrice,OriginalListPrice,OriginalListPrice,X117218,OriginalListPrice,32,Decimal,,1,Number,Right,1,,,,,1,,,0,,,0,,,,,
OtherStructures,,OtherStructures,X267066853,OtherStructures,15,Long,0,1,LookupMulti,Left,0,,SUB_STRUCTURE_TYPES,88,,1,,,0,,,0,,,,,
PendingDate,,PendingDate,X911848,PendingDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
PendingPrice,,PendingPrice,X911858,PendingPrice,10,Decimal,,1,Number,Right,1,,,,,1,,,0,,,0,,,,,
PropertyType,,PropertyType,X117289,PropertyType,15,Long,0,1,Lookup,Left,0,,PROPERTY_TYPE,11,,1,,,0,,,0,,,,,
PricePerSqft,,PricePerSqft,X117221,PricePerSqft,32,Decimal,,1,Number,Right,1,MONEY,,,,1,,,0,,,0,,,,,
ProjectedActivationDate,,ProjectedActivationDate,X40706512,ProjectedActivationDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
PropertySubType,,PropertySubType,X57392802,PropertySubType,15,Long,0,1,LookupMulti,Left,0,,PROPERTY_SUB_TYPE-RES,46,,1,,,0,,,0,,,,,
ReciprocalListingYN,,ReciprocalListingYN,X38766031,ReciprocalListingYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
ServiceLevel,,ServiceLevel,X40706496,ServiceLevel,15,Long,0,1,Lookup,Left,0,,SERVICE_LEVEL,3,,1,,,0,,,0,,,,,
SoldPricePerSqft,,SoldPricePerSqft,X40960971,SoldPricePerSqft,32,Decimal,,1,Number,Right,1,,,,,1,,,0,,,0,,,,,
SquareFootageSource,,SquareFootageSource,X38766047,SquareFootageSource,15,Long,0,1,Lookup,Left,0,,SOURCE_OF_MEASURE,20,,1,,,0,,,0,,,,,
StatusChangeDate,StatusChangeDate,StatusChangeDate,X117291,StatusChangeDate,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
TaxLegalBlockNumber,,TaxLegalBlockNumber,X117255,TaxLegalBlockNumber,10,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
UniqueID,,UniqueID,X117295,UniqueID,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
UnitsTotalInComplex,,UnitsTotalInComplex,X117077,UnitsTotalInComplex,10,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
WithdrawnDate,,WithdrawnDate,X911852,WithdrawnDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
SystemLocale,,SystemLocale,X980204,SystemLocale,15,Long,0,1,Lookup,Left,0,,SYSTEM_LOCALES,9,,1,,,0,,,0,,,,,
SubSystemLocale,,SubSystemLocale,X980205,SubSystemLocale,15,Long,0,1,Lookup,Left,0,,SUB_SYSTEM_LOCALES,32,,1,,,0,,,0,,,,,
ListingSubscriptionClassList,,ListingSubscriptionClassList,X267066848,ListingSubscriptionClassList,255,Long,0,1,LookupMulti,Left,0,,SUBSCRIPTION_CLASSES,185,,1,,,0,,,0,,,,,
ListingSubscriptionList,,ListingSubscriptionList,X267066849,ListingSubscriptionList,255,Long,0,1,LookupMulti,Left,0,,SUBSCRIPTION_SERVICES,65,,1,,,0,,,0,,,,,
TotalPhotoCount,,TotalPhotoCount,X264891777,TotalPhotoCount,10,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
LastPhotoDate,,LastPhotoDate,X69663319,LastPhotoDate,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
LastMediaDate,,LastMediaDate,X74800843,LastMediaDate,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
GateCode,,GateCode,X70477012,GateCode,25,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
RawCDOM,,RawCDOM,X292151322,RawCDOM,5,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
RawDOM,,RawDOM,X117277,RawDOM,5,Small,0,1,Number,Right,0,,,,,1,-32768,32767,0,,,0,,,,,
VOWAutomatedValuationDisplay,,VOWAutomatedValuationDisplay,X70750046,VOWAVM,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
VOWConsumerComment,,VOWConsumerComment,X70750047,VOWComm,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
RPRYN,,RPRYN,X3846697,RPRYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
ResetCDOMYN,,ResetCDOMYN,X3846698,ResetCDOMYN,1,Boolean,,1,Number,Right,0,,,,,1,0,1,0,,,0,,,,,
HoldDate,,HoldDate,X71898921,HoldDate,10,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
AdNumber,,AdNumber,X38765984,AdNumber,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ActiveDate,,ActiveDate,X11163096,ActiveDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
BackupOfferDate,,BackupOfferDate,X11163097,BackupOfferDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
Appliances,,Appliances,X117090,Appliances,15,Long,0,1,LookupMulti,Left,0,,APPLIANCES,82,,1,,,0,,,0,,,,,
